Variable Label,Variable Name,Unit of Measure (when applicable),Variable class,Variable Description
PaidContributionasPercentofCover,Paid Contributions as a percent of Covered Payroll (SFP),,percentage,Paid Contribution expressed as a percentage of covered payroll
 RequiredEmployerContribution ,Required Employer Contribution,raw dollars,numeric,"Generally defined as the ADEC, however, there are instances where some plans have a contractually required contribution that is distinct from their ADEC. Should not be confused with the ARC, or Annual Required Contribution"
 PaidEmployerContribution ,Paid Employer Contribution,raw dollars,numeric,The actual paid employer contribution for a given plan for a given year.  
PercentReqContPaidContPaidAsPer,Percentage of ADEC Paid,,percentage,The Ratio of Paid Employer Contribution to ADEC
PayrollGrowthAssumption,Payroll Growth Assumption,,percentage,This variable is the payroll growth assumption used bythe actuaries to calculate both payroll growth and often times the amortization of unfunded liabilities and amortization period
InflationAssumption_GASB,Inflation Assumption,,percentage,The assumed inflation rate used by the plan
 TotalBenefits ,Total Benefits,raw dollars,numeric,"The total value of all benefits paid to all beneficiaries for a given plan for a given year.  Does not include refunds or expenses, is solely benefits (of any sort)"
 RetirementBenefits ,Retirement Benefits,raw dollars,numeric,"The total value of exclusively retirement benefits for a given plan for a given year.  Does not include healthcare benefits, death benefits, or any other non-retirement benefits that are included in total benefits. Does not include refunds or expenses"
ActiveMemberTotal,Active Member Total,people,integer,"How many Active Members are there currently covered by the plan?  Note, DROP members are not counted as Active Members, as they are not accruing benefits"
InactiveVestedMembers,Inactive Vested Member Total,people,integer,"How many Inactive Vested Members are currently covered by the plan.  Often referred to as ""Terminated Vested"" by plans.  Includes members that are no longer active but are not yet receiving benefits they have earned"
InactiveNonVested,Inactive Non-Vested Member Total,people,integer,"How many Inactive Non Vested members are currently covered by the plan.  Reporting on this class of member varies widely from plan to plan and even from year to year within plans.  Some plans refer to these members as ""Terminated due Refund of Contributions""  or the like, whereas other systems act as though they do not exist."
BeneficiariesTotal,Beneficiaries Total,people,integer,"How many Beneficiaries are currently covered by the plan.  Includes Retirees, Survivors, Long Term Disability, and other Beneficiary groups. "
ActCostMeth_GASB,Actuarial Cost Method as per the GASB,,string,"Actuarial Cost Method is the procedure for determining the Actuarial Present Value of Benefits and Expenses, and for developing Normal Cost and Actuarial Accrued Liability.  There are a number of different methods that all differ in how/whether they calculate the above.  "
AssetValMeth_GASB,Asset Valuation Method as per the GASB,,string,How are assets valued?  Often involves some sort of smoothing function to spread gains and losses over several years
FundingMeth_GASB,Funding Method as per the GASB,,string,"Level Dollar or Level Percent and then Amortized on an Open (i.e infinite duration), Closed (finite duration), or Fixed basis. "
ActuarialFirm,Actuarial Firm Name,,string,What is the Actuarial Firm that is responsible for conducting the actuarial valuation and issuing the Actuarial Valuation Report for a given plan for a given year
StateGenFundExpenditures,State General Fund Expenditures,raw dollars,numeric,
StateOwnSourceExpenditures,State Own Source Expenditures,raw dollars,numeric,
StateTotalExpenditures,State Total Expenditures,raw dollars,numeric,
GDP,GDP,raw dollars,numeric,
InvestmentExpense_SCFNP,Investment Expenses as listed in the Schedule of Changes in Fiduciary Net Position,,,
InvestmentExpenses,Investment Expenses as listed in the Investment Expenses Schedule,raw dollars,numeric,
SecuritiesLendingExpense_SCFNP,Securities Lending Management Fees as listed in the schedule of changes in fiduciary net position,raw dollars,numeric,
Professional_ConsultantFees,Professional and Consultant Fees,,,
BrokerCommissions,Brokerage Commissions,,,
FundedRatio_GASB,Funded Ratio using the GASB calculation methods,,percentage,"This is the plan's funded ratio, calculated as the Fiduciary Net Position divided by the Total Pension Liability.  Please note, in most cases, this funded ratio is not available prior to the change in GASB reporting requirements in 2014"
FundedRatio_MVA,Funded Ratio using MVA in place of AVA,,percentage,"This is the plan's funded ratio, calculated as the Market Value of assets divided by the Actuarial Accrued Liability"
MunicipalTag,Dummy variable denoting municipally administered plans.,,binary,This is a dummy variable used to distinguish between state-administered and municipally-administered plans. 0 = state administered plans and 1 = municipally administered plans.
